fqcn	textChars
star.base.neo.ClientServerObjectGroup	7434
star.base.neo.ClientServerObjectGroupManager.GroupingCategory	1214
star.base.neo.ClientServerObjectGroupManager.GroupingCategoryProvider	981
star.base.neo.ClientServerObjectGroupManager	9223
star.base.neo.ClientServerObjectKey	3532
star.base.neo.ClientServerObjectManager	13871
star.base.neo.ClientVersion	3186
star.base.neo.ClipboardUtils	1411
star.base.neo.CommandTokenizer	1775
star.base.neo.CsoKeyProvider	1514
star.base.neo.CsoProvider	1381
star.base.neo.CustomRemoteShell	4519
star.base.neo.DisconnectedException	2264
star.base.neo.dom.ClientServerObjectManagerWriter	2450
star.base.neo.dom.ClientServerObjectWriter	3088
star.base.neo.dom.NeoInputWriter	2024
star.base.neo.DoubleVector	7068
star.base.neo.DoubleVectorArg	1065
star.base.neo.DoubleVectorEditor	3170
star.base.neo.DoubleVectorWithUnitsFormatter	9439
star.base.neo.DoubleWithUnitsArg	1878
star.base.neo.DoubleWithUnitsNumberFormatter	3357
star.base.neo.EmbeddedMessagePanel.Builder	2357
star.base.neo.EmbeddedMessagePanel	10618
star.base.neo.EmbeddedMessagePanel.Location	2591
star.base.neo.EnumEditor	6629
star.base.neo.FeatureDescriptorComparator	1634
star.base.neo.FieldWithDetailsPopup.Builder	2479
star.base.neo.FieldWithDetailsPopup	10045
star.base.neo.FileSelectPanel	14666
star.base.neo.FJTask	15384
star.base.neo.FJTask.Par	2065
star.base.neo.FJTask.Par2	1724
star.base.neo.FJTask.Seq	2038
star.base.neo.FJTask.Seq2	1702
star.base.neo.FJTask.Wrap	1612
star.base.neo.FJTaskRunner	18468
star.base.neo.FJTaskRunner.VolatileTaskRef	1922
star.base.neo.FJTaskRunnerGroup	14404
star.base.neo.FJTaskRunnerGroup.InvokableFJTask	2069
star.base.neo.FontArgument	1404
star.base.neo.ForwardSshTunnel	2179
star.base.neo.FullStringNumberFormatter	8247
star.base.neo.Group	363
star.base.neo.GroupableObjectManager.GroupableChildrenComparator	1639
star.base.neo.GroupableObjectManager	9961
